# CJK Unified Ideographs Extension C 2A700 - 2B73F
2A80F	cjk-cjkunifiedideograph2a80f	CJK UNIFIED IDEOGRAPH-2A80F
2A810	cjk-cjkunifiedideograph2a810	CJK UNIFIED IDEOGRAPH-2A810
2A811	cjk-cjkunifiedideograph2a811	CJK UNIFIED IDEOGRAPH-2A811
2A812	cjk-cjkunifiedideograph2a812	CJK UNIFIED IDEOGRAPH-2A812
2A813	cjk-cjkunifiedideograph2a813	CJK UNIFIED IDEOGRAPH-2A813
2A814	cjk-cjkunifiedideograph2a814	CJK UNIFIED IDEOGRAPH-2A814
2A815	cjk-cjkunifiedideograph2a815	CJK UNIFIED IDEOGRAPH-2A815
2A816	cjk-cjkunifiedideograph2a816	CJK UNIFIED IDEOGRAPH-2A816
2A817	cjk-cjkunifiedideograph2a817	CJK UNIFIED IDEOGRAPH-2A817
2A818	cjk-cjkunifiedideograph2a818	CJK UNIFIED IDEOGRAPH-2A818
2A819	cjk-cjkunifiedideograph2a819	CJK UNIFIED IDEOGRAPH-2A819
2A81A	cjk-cjkunifiedideograph2a81a	CJK UNIFIED IDEOGRAPH-2A81A
2A81B	cjk-cjkunifiedideograph2a81b	CJK UNIFIED IDEOGRAPH-2A81B
2A81C	cjk-cjkunifiedideograph2a81c	CJK UNIFIED IDEOGRAPH-2A81C
2A81D	cjk-cjkunifiedideograph2a81d	CJK UNIFIED IDEOGRAPH-2A81D
2A81E	cjk-cjkunifiedideograph2a81e	CJK UNIFIED IDEOGRAPH-2A81E
2A81F	cjk-cjkunifiedideograph2a81f	CJK UNIFIED IDEOGRAPH-2A81F
